decay_step,finance_sim_delta0.9,finance_sim_delta0.95,finance_sim_delta0.99,quantum_sim_delta0.9,quantum_sim_delta0.95,quantum_sim_delta0.99
0,0.4992,0.487,0.4942,0.0,0.0,0.0
25,0.1172,0.2576,0.4958,0.49,0.4908,0.2472
50,0.0054,0.1796,0.4978,0.4958,0.5036,0.2484
75,0.0092,0.0742,0.257,0.4892,0.4922,0.482
100,-0.0032,0.0334,0.252,0.4948,0.4958,0.487
125,-0.0048,0.003,0.255,0.4848,0.4974,0.4856
150,-0.003,0.0016,0.254,0.4994,0.4976,0.491
175,-0.0004,0.0154,0.2574,0.4876,0.4918,0.4884
200,-0.0148,0.0076,0.2542,0.4856,0.498,0.4832
225,-0.0028,0.0156,0.2512,0.494,0.4944,0.4842
250,0.0066,0.0128,0.2482,0.4974,0.504,0.4884
275,-0.0056,0.0132,0.2304,0.4972,0.5056,0.4882
300,-0.0036,0.0186,0.2078,0.4924,0.4954,0.4908
325,0.0032,0.0144,0.173,0.4912,0.5016,0.488
350,0.0058,0.0204,0.1518,0.4982,0.4856,0.5008
375,-0.0098,0.0032,0.1162,0.493,0.4968,0.4936
400,0.0026,0.0128,0.0958,0.493,0.4948,0.4948
425,0.0136,0.0164,0.0728,0.4996,0.4992,0.485
450,0.002,0.0078,0.0602,0.502,0.4922,0.49
475,0.0034,0.0104,0.044,0.4926,0.4928,0.4746
500,0.0022,0.0092,0.0458,0.5022,0.5068,0.486
